Title,Price,Year,Mileage,Fuel,Location,Link,Make,Model,Condition,Body Type,Color,Seats
Suzuki Alto 2004,Rs 6.65 Lac,2004,"10,000 km",CNG,"Gulshan-e-Iqbal Town, Karachi•",https://www.olx.com.pk/item/suzuki-alto-2004-iid-1105939702,,,,,,
DFSK Glory 580 pro Lush Condition,Rs 55 Lacs,2021,"7,500 km",Petrol,"DHA Defence, Lahore•",https://www.olx.com.pk/item/dfsk-glory-580-pro-lush-condition-iid-1105937878,,,,,,
Proton X70 Premium FWD 2022,Rs 68 Lacs,2022,"51,000 km",Petrol,"Bahria Town, Islamabad•",https://www.olx.com.pk/item/proton-x70-premium-fwd-2022-iid-1105355266,,,,,,
Haval H6 HEV 2024 | Haval H6 Car For Sale,Rs 1.16 Crore,2024,"24,000 km",Hybrid,"G-8, Islamabad•",https://www.olx.com.pk/item/haval-h6-hev-2024-haval-h6-car-for-sale-iid-1105156015,,,,,,
Kia Stonic Ex 2023' Pearl Black One Hand Like New,Rs 45.95 Lacs,2023,"19,000 km",Petrol,"DHA Phase 5, Karachi•",https://www.olx.com.pk/item/kia-stonic-ex-2023-pearl-black-one-hand-like-new-iid-1105155908,,,,,,
Haval H6 2024,Rs 93 Lacs,2024,"49,000 km",Petrol,"DHA Defence, Lahore•",https://www.olx.com.pk/item/haval-h6-2024-iid-1105154255,,,,,,
Honda Civic 2017 Totally Genuine,Rs 49.50 Lacs,2017,"45,000 km",Petrol,"Allama Iqbal Town - Karim Block, Lahore•",https://www.olx.com.pk/item/honda-civic-2017-totally-genuine-iid-1104728436,,,,,,
Suzuki Liana 2010,Rs 15.30 Lacs,2010,"170,000 km",Petrol,"Thokar Niaz Baig, Lahore•",https://www.olx.com.pk/item/suzuki-liana-2010-iid-1105939554,,,,,,
Honda BR-V i-VTEC S 2021 UG(Full Option Automatic),Rs 46.50 Lacs,2021,"70,000 km",Petrol,"DHA Phase 1, Lahore•",https://www.olx.com.pk/item/honda-br-v-i-vtec-s-2021-ugfull-option-automatic-iid-1105939548,,,,,,
Suzuki Alto 2006,Rs 7.50 Lac,2006,"100,000 km",CNG,"Federal B Area, Karachi•",https://www.olx.com.pk/item/suzuki-alto-2006-iid-1105939523,,,,,,
Suzuki Cultus VXR 2008,Rs 11.50 Lacs,2008,"90,000 km",Petrol,"Marghzar Officers Colony, Lahore•",https://www.olx.com.pk/item/suzuki-cultus-vxr-2008-iid-1105939511,,,,,,
Corolla Gli 2008 Genuine Condition,Rs 19.95 Lacs,2008,"264,850 km",Petrol,"Auto Bhan Road, Hyderabad•",https://www.olx.com.pk/item/corolla-gli-2008-genuine-condition-iid-1102454917,,,,,,
Suzuki Mehran VXR 2018 Euro 2,Rs 12.75 Lacs,2018,"10,000 km",Petrol,"Gulshan-e-Iqbal Town, Karachi•",https://www.olx.com.pk/item/suzuki-mehran-vxr-2018-euro-2-iid-1105939233,,,,,,
Mehran VXR 2011 model for sale,Rs 7.50 Lac,2011,"30,000 km",Petrol,"Defence View Housing Scheme, Multan•",https://www.olx.com.pk/item/mehran-vxr-2011-model-for-sale-iid-1105938706,,,,,,
Toyota Yaris X Hatchback 2022/2025 for Sale,Rs 45 Lacs,2022,"99,000 km",Petrol,"Hayatabad Phase 2, Peshawar•",https://www.olx.com.pk/item/toyota-yaris-x-hatchback-20222025-for-sale-iid-1105910317,,,,,,
Mg trophy 2021 . Register 2023,Rs 66 Lacs,2021,"40,000 km",Petrol,"Wadhu Wah Road, Hyderabad•",https://www.olx.com.pk/item/mg-trophy-2021-register-2023-iid-1105834460,,,,,,
Hyundai Santro 2000 Model Better then Mehran cultus coure alto,Rs 6.95 Lac,2000,"12,345 km",Petrol,"Samanabad, Faisalabad•",https://www.olx.com.pk/item/hyundai-santro-2000-model-better-then-mehran-cultus-coure-alto-iid-1105938610,,,,,,
Daihatsu Mira 2024,Rs 38.25 Lacs,2024,"36,000 km",Petrol,"Golra Mor, Islamabad•",https://www.olx.com.pk/item/daihatsu-mira-2024-iid-1105916679,Daihatsu,Mira,Used,Hatchback,Blue,4.0
Toyota Corolla ALTIS 1.6 2017,Rs 43 Lacs,2017,"75,000 km",Petrol,"Shadman 1, Lahore•",https://www.olx.com.pk/item/toyota-corolla-altis-16-2017-iid-1105938306,Toyota,Corolla Altis,Used,Sedan,Black,5.0
Suzuki Alto 2010 Bumper To Bumper Original,Rs 10 Lacs,2010,"20,000 km",Petrol,"Federal B Area, Karachi•",https://www.olx.com.pk/item/suzuki-alto-2010-bumper-to-bumper-original-iid-1105937535,Suzuki,Alto,Used,Hatchback,Grey,
Cultus vxl limited edition,Rs 16.50 Lacs,2016,"89,000 km",Petrol,"Garden Town Phase 2, Gujranwala•",https://www.olx.com.pk/item/cultus-vxl-limited-edition-iid-1105810634,Suzuki,Cultus VXL,Used,Other,Silver,4.0
Toyota Grande 2021 Black Interior,Rs 65.50 Lacs,2021,"61,000 km",Petrol,"Shadman 1, Lahore•",https://www.olx.com.pk/item/toyota-grande-2021-black-interior-iid-1105937915,Toyota,Altis Grande,Used,Sedan,White,5.0
Suzuki Mehran 2013 euro ll VX convert to VXR Home Used,Rs 10.30 Lacs,2013,"62,600 km",Petrol,"Bahria Orchard Phase 2, Lahore•",https://www.olx.com.pk/item/suzuki-mehran-2013-euro-ll-vx-convert-to-vxr-home-used-iid-1105934834,Suzuki,Mehran VX,Used,Hatchback,White,4.0
